review_description,rating
شركه زباله و سواقين بتبرشم و مفيش حتي رقم للشكاوي السواق يسيبك و يمشي و ميرضاش يقف و يقولك اعملك ايه اتصل بالشركه و قولهم مرضيش يقفلي ، رغم اني حاجز من قبلها بيوم,-1
خدمة الدفع عن طريق الكي نت توقفت عندي اصبح فقط الدفع نقدا ؟؟؟؟؟؟؟؟,1
تطبيق غبي و جاري حذفه ، عاملين اكواد خصم و لما نستخدمها اكتر من مرة يعملو بلوك للهاتف بالكامل و لما تتواصل مع خدمة العملا يقولولك المشكلة ملهاش حل ، هما الخسرانين وانصح الجميع انه ينزل تطبيقات المطاعم المشهورة زي كنتاكي او ماكدونالدز و يطلب منها افضل ، و بيكون في خصومات اقوي عليها و كل الوجبات متاحة,-1
فعلا تطبيق ممتاز بس لو فى امكانية يتيح لمستخدم التطبيق ان يستطيع تغيير كلمة السر بدون الرجوع الى خدمة العملاء,1
سيء جدا ، اسعار رسوم التوصيل لا تمت للواقع ب صله !,-1
قعد عشرين سنة يدور على سائق بس اما عن توصيل الأشياء جيد جداً,0
رائع واو مدهش,1
تطبيق جميل يستاهل الخمس نجوم👍👍👍,1
هلا طلبات,1
الاسمر عمار الريق مصر,1
ممتاز ومصدقة ودقه وسرعة في التوصيل الرجاء وضع تقيم على الوجبات او الطلبات بغض النظر عن المطعم وشكرآ,1
هالبرنامج منقذ,1
مرة سريع جاني الطلب حار انصح فيه بصراحة,1
يو ار يو,1
ما يوصل لأي مكان,-1
لو سمحت انا سالت قبل كده إذا كان في توصيل لمنطقة بشتىل عن نقطة بشتيل شارع المسابك بعتولي قولتولي ابعتي اسم المنطقه طيب والي انا بعتاه ده اسمو ايه ماهو ده اسم المنطقه والغريب أن أول مايفتح التطبيق يظهر اسم المكان واجي اطلب مطاعم يظهرلي عبد المعبود بتاع القهوه فقط,-1
افضل تطبيق علی مر تاريخ,1
طلبت طلبيه لي ساعه ويوم اتصلت عليهم قالو طلبكم اللغى حيوانيين ذبحني الجوع 😠,-1
